Year,Zip Code,Closings, Sale Amt Avg ,YoY Sale Amt Avg, Price/ SqFt Avg ,YoY Price/SqFt Avg,Bedrooms Avg,Bathrooms  Avg,Living SqFt Avg,Land SqFt Avg,Acres Avg
2010,98002,272," $185,951.20 ",-3.41%, $118.44 ,-14.17%,2.9,1.9,"1,693","35,449",0.8
2011,98002,314," $177,048.73 ",-4.79%, $116.67 ,-1.50%,2.9,2.0,"1,740","42,962",1.0
2012,98002,380," $149,901.89 ",-15.33%, $95.53 ,-18.12%,2.9,2.0,"1,499","38,774",0.9
2013,98002,484," $170,933.07 ",14.03%, $110.32 ,15.49%,3.0,2.0,"1,558","39,573",0.9
2014,98002,431," $193,632.47 ",13.28%, $128.35 ,16.34%,3.0,2.1,"1,469","46,501",1.1
2015,98002,488," $225,308.86 ",16.36%, $142.25 ,10.83%,2.9,1.9,"1,478","42,667",1.0
2016,98002,641," $255,132.71 ",13.24%, $166.84 ,17.28%,3.0,2.1,"1,539","44,651",1.0
2017,98002,534," $275,900.56 ",8.14%, $178.08 ,6.74%,2.9,2.0,"1,497","36,819",0.9
2018,98002,533," $319,534.46 ",15.82%, $214.41 ,20.40%,2.9,2.0,"1,523","46,576",1.1
2019,98002,512," $325,011.01 ",1.71%, $216.16 ,0.81%,3.2,1.9,"1,579","32,218",0.8
2005,98003,856," $235,692.58 ",, $148.66 ,,3.0,2.1,"1,639","115,811",2.7
2006,98003,812," $264,071.27 ",12.04%, $173.88 ,16.96%,3.0,2.2,"1,565","112,107",2.6
2007,98003,596," $286,540.81 ",8.51%, $182.06 ,4.70%,2.8,2.1,"1,710","106,766",2.5
2008,98003,404," $272,045.95 ",-5.06%, $176.21 ,-3.21%,3.0,2.1,"1,612","109,569",2.5
2009,98003,462," $222,089.64 ",-18.36%, $140.29 ,-20.38%,2.9,2.2,"1,640","94,624",2.2
2010,98003,466," $199,006.15 ",-10.39%, $125.35 ,-10.66%,2.9,2.1,"1,579","117,629",2.7
2011,98003,578," $165,353.37 ",-16.91%, $102.60 ,-18.15%,2.9,2.1,"1,565","139,446",3.2
2012,98003,487," $169,782.09 ",2.68%, $104.47 ,1.82%,3.0,2.2,"1,537","141,180",3.2
2013,98003,604," $185,287.18 ",9.13%, $112.01 ,7.22%,3.0,2.2,"1,600","146,360",3.4
2014,98003,580," $224,716.38 ",21.28%, $129.22 ,15.36%,2.9,2.2,"1,570","129,860",3.0
2015,98003,682," $234,021.97 ",4.14%, $142.27 ,10.10%,2.9,2.1,"1,561","139,468",3.2
2016,98003,788," $257,759.48 ",10.14%, $170.00 ,19.49%,2.9,2.1,"1,566","143,827",3.3
2017,98003,668," $314,710.78 ",22.09%, $186.55 ,9.74%,2.9,2.2,"1,661","140,917",3.2
2018,98003,638," $322,208.46 ",2.38%, $213.07 ,14.22%,2.8,2.1,"1,500","144,654",3.4
2019,98003,581," $346,329.35 ",7.49%, $215.30 ,1.04%,2.8,2.1,"1,526","128,252",2.9
2005,98004,805," $773,999.84 ",, $294.35 ,,3.1,3.0,"2,679","71,228",1.6
2006,98004,679," $893,848.72 ",15.48%, $357.14 ,21.33%,3.2,3.1,"2,865","56,226",1.3
2007,98004,594," $1,044,402.54 ",16.84%, $406.48 ,13.81%,3.1,3.1,"2,674","62,589",1.4
2008,98004,286," $1,050,510.37 ",0.58%, $421.59 ,3.72%,2.9,3.0,"2,570","62,771",1.4
2009,98004,374," $863,854.90 ",-17.77%, $318.15 ,-24.54%,3.3,3.3,"2,822","47,265",1.1
2010,98004,504," $822,607.62 ",-4.77%, $315.44 ,-0.85%,3.1,3.0,"2,552","52,644",1.3
2011,98004,552," $763,469.66 ",-7.19%, $293.22 ,-7.04%,3.0,3.0,"2,481","56,540",1.3
2012,98004,631," $908,803.81 ",19.04%, $317.17 ,8.17%,3.1,3.2,"2,666","53,374",1.3
2013,98004,729," $914,780.95 ",0.66%, $347.37 ,9.52%,3.0,3.1,"2,556","64,777",1.5
2014,98004,674," $1,056,713.59 ",15.52%, $404.34 ,16.40%,3.1,3.1,"2,564","59,975",1.4
2015,98004,738," $1,213,315.39 ",14.82%, $451.88 ,11.76%,3.2,3.4,"2,768","58,419",1.4
2016,98004,791," $1,303,317.36 ",7.42%, $504.42 ,11.63%,3.1,3.2,"2,651","65,061",1.5
2017,98004,700," $1,457,436.49 ",11.83%, $584.60 ,15.89%,3.0,3.2,"2,592","56,956",1.3
2018,98004,559," $1,840,879.82 ",26.31%, $701.03 ,19.92%,3.1,3.2,"2,669","63,853",1.5
2019,98004,583," $1,710,896.34 ",-7.06%, $704.23 ,0.46%,3.0,3.0,"2,469","63,680",1.5
2005,98005,422," $476,436.25 ",, $222.29 ,,3.0,2.9,"2,173","111,853",2.6
2006,98005,384," $550,978.99 ",15.65%, $272.40 ,22.54%,2.9,2.7,"2,076","115,631",2.7
2007,98005,306," $629,875.18 ",14.32%, $311.53 ,14.37%,2.9,2.7,"2,031","117,716",2.8
2008,98005,207," $562,521.12 ",-10.69%, $294.08 ,-5.60%,2.8,2.6,"1,983","104,400",2.4
2009,98005,199," $534,771.85 ",-4.93%, $244.25 ,-16.94%,3.1,2.9,"2,132","101,416",2.5
2010,98005,230," $509,837.20 ",-4.66%, $229.07 ,-6.22%,3.3,2.9,"2,276","85,750",2.1
2011,98005,247," $480,149.34 ",-5.82%, $214.83 ,-6.22%,3.1,2.9,"2,215","91,907",2.1
2012,98005,284," $522,185.23 ",8.75%, $228.19 ,6.22%,3.2,2.9,"2,271","91,262",2.1
2013,98005,356," $582,546.14 ",11.56%, $256.21 ,12.28%,3.1,2.8,"2,145","100,473",2.3
2014,98005,299," $642,321.60 ",10.26%, $276.03 ,7.74%,3.2,2.8,"2,174","109,391",2.5
2015,98005,374," $705,464.62 ",9.83%, $313.16 ,13.45%,3.2,2.9,"2,235","85,621",2.0
2016,98005,318," $797,106.12 ",12.99%, $344.07 ,9.87%,3.2,2.8,"2,173","101,137",2.3
2017,98005,301," $895,465.18 ",12.34%, $410.92 ,19.43%,3.2,3.0,"2,227","88,476",2.0
2018,98005,261," $991,007.57 ",10.67%, $463.44 ,12.78%,3.0,2.8,"2,102","110,445",2.5
2019,98005,235," $1,050,147.91 ",5.97%, $494.11 ,6.62%,3.2,2.9,"2,245","100,376",2.3
2005,98006,899," $552,752.83 ",, $219.42 ,,3.5,2.9,"2,509","76,490",1.4
2006,98006,811," $625,676.04 ",13.19%, $258.60 ,17.86%,3.5,2.9,"2,474","73,821",1.3
2007,98006,628," $678,842.69 ",8.50%, $275.14 ,6.40%,3.4,2.8,"2,368","87,091",1.6
2008,98006,386," $601,073.80 ",-11.46%, $255.68 ,-7.07%,3.3,2.8,"2,248","81,114",1.5
2009,98006,371," $555,626.57 ",-7.56%, $227.03 ,-11.21%,3.5,3.0,"2,450","56,474",1.1
2010,98006,495," $593,731.41 ",6.86%, $224.68 ,-1.03%,3.6,3.0,"2,539","62,777",1.0
2011,98006,543," $548,069.38 ",-7.69%, $215.40 ,-4.13%,3.5,3.0,"2,388","67,944",1.3
2012,98006,589," $597,355.41 ",8.99%, $221.17 ,2.68%,3.6,3.1,"2,588","63,305",0.9
2013,98006,764," $611,331.83 ",2.34%, $246.85 ,11.61%,3.5,3.0,"2,440","78,548",1.5
2014,98006,664," $701,514.94 ",14.75%, $272.24 ,10.29%,3.6,3.0,"2,520","54,650",1.2
2015,98006,752," $786,173.80 ",12.07%, $307.76 ,13.05%,3.5,3.0,"2,431","68,584",1.3
2016,98006,735," $851,141.09 ",8.26%, $343.67 ,11.67%,3.6,3.0,"2,468","61,546",1.1
2017,98006,668," $1,032,642.60 ",21.32%, $405.64 ,18.03%,3.6,3.1,"2,543","54,393",1.1
2018,98006,574," $1,102,426.74 ",6.76%, $441.94 ,8.95%,3.6,3.1,"2,506","49,070",0.9
2019,98006,539," $1,039,028.88 ",-5.75%, $415.15 ,-6.06%,3.6,3.0,"2,478","57,707",1.1
2005,98007,474," $304,154.16 ",, $193.32 ,,2.7,2.1,"1,537","171,103",3.9
2006,98007,386," $400,982.20 ",31.84%, $234.32 ,21.21%,2.9,2.3,"1,753","140,076",3.2
2007,98007,322," $424,113.38 ",5.77%, $271.51 ,15.87%,2.7,2.1,"1,585","161,256",3.8
2008,98007,162," $433,754.41 ",2.27%, $254.60 ,-6.23%,3.1,2.4,"1,747","134,116",3.1
2009,98007,179," $406,148.25 ",-6.36%, $223.55 ,-12.19%,3.1,2.4,"1,836","98,445",2.3
2010,98007,252," $371,222.88 ",-8.60%, $206.08 ,-7.82%,2.8,2.3,"1,689","105,666",2.5
2011,98007,287," $305,572.01 ",-17.69%, $170.98 ,-17.03%,2.8,2.2,"1,591","135,623",3.1
2012,98007,285," $338,670.87 ",10.83%, $192.68 ,12.70%,2.9,2.3,"1,740","109,022",2.5
2013,98007,333," $389,183.22 ",14.91%, $228.14 ,18.40%,2.9,2.3,"1,635","123,974",2.8
2014,98007,327," $437,802.47 ",12.49%, $248.15 ,8.77%,2.9,2.4,"1,712","145,068",3.4
2015,98007,313," $460,421.12 ",5.17%, $271.32 ,9.34%,2.9,2.3,"1,669","139,998",3.2
2016,98007,348," $516,408.63 ",12.16%, $318.10 ,17.24%,2.8,2.2,"1,589","147,600",3.4
2017,98007,282," $602,872.36 ",16.74%, $377.15 ,18.56%,2.9,2.2,"1,647","148,013",3.4
2018,98007,267," $736,472.97 ",22.16%, $431.72 ,14.47%,2.8,2.2,"1,747","148,907",3.4
2019,98007,265," $713,973.67 ",-3.06%, $427.91 ,-0.88%,2.9,2.3,"1,694","137,658",3.2
2005,98008,600," $432,535.53 ",, $217.56 ,,3.5,2.8,"2,026","38,717",1.0
2006,98008,510," $539,133.12 ",24.64%, $255.80 ,17.58%,3.5,2.8,"2,229","38,857",1.0
2007,98008,416," $604,275.80 ",12.08%, $291.56 ,13.98%,3.6,2.9,"2,102","31,124",0.8
